File Title: ,C:\Users\slank\Desktop\LOG01.LOG
File Name: ,C:\Users\slank\Desktop\LOG01.LOG
Start Time:,9/28/2017 3:56:30 PM
End Time:,10/15/2017 4:54:53 PM
Interval:,15
Records:,54663
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Error #
9/28/2017 4:20:59 PM,3.43104798161093E-02,0
9/28/2017 4:21:14 PM,3.39670433259457E-02,0
9/28/2017 4:21:29 PM,3.38605656869719E-02,0
9/28/2017 4:21:45 PM,3.38217407440509E-02,0
9/28/2017 4:21:59 PM,0.033439253932431,0
9/28/2017 4:22:14 PM,3.25895307798482E-02,0
9/28/2017 4:22:29 PM,3.22300951925004E-02,0
9/28/2017 4:22:44 PM,3.17388960408092E-02,0
9/28/2017 4:22:59 PM,3.15630156418446E-02,0
9/28/2017 4:23:14 PM,4.54388445422047,0
9/28/2017 4:23:31 PM,4.34802797143383,0
9/28/2017 4:23:44 PM,2.8229258086417,0
9/28/2017 4:23:59 PM,2.33580132991549,0
9/28/2017 4:24:14 PM,0.794269812259337,0
9/28/2017 4:24:29 PM,0.259796255075591,0
9/28/2017 4:24:44 PM,0.31736716188575,0
9/28/2017 4:25:00 PM,2.62596667529449E-02,0
9/28/2017 4:25:14 PM,2.85250787209778E-02,0
9/28/2017 4:25:29 PM,2.72296724962412E-02,0
9/28/2017 4:25:45 PM,2.69541363014366E-02,0
9/28/2017 4:25:59 PM,2.67560390425603E-02,0
9/28/2017 4:26:14 PM,2.64196927238431E-02,0
9/28/2017 4:26:30 PM,0.025496504297691,0
9/28/2017 4:26:44 PM,0.02531726620809,0
9/28/2017 4:26:59 PM,2.54532777355908E-02,0
9/28/2017 4:27:14 PM,2.59287045242261E-02,0
9/28/2017 4:27:29 PM,0.026012974810483,0
9/28/2017 4:27:44 PM,2.65717046428416E-02,0
9/28/2017 4:27:59 PM,2.64367198374517E-02,0
9/28/2017 4:28:15 PM,0.026756704086803,0
9/28/2017 4:28:29 PM,2.73276577145459E-02,0
9/28/2017 4:28:44 PM,0.027271038493707,0
9/28/2017 4:28:59 PM,2.76811978798312E-02,0
9/28/2017 4:29:14 PM,2.74646162588896E-02,0
9/28/2017 4:29:29 PM,2.76863977540936E-02,0
9/28/2017 4:29:44 PM,2.77113652659125E-02,0
9/28/2017 4:29:59 PM,2.78872058841961E-02,0
9/28/2017 4:30:14 PM,2.71802438169516E-02,0
9/28/2017 4:30:29 PM,2.73965287948335E-02,0
9/28/2017 4:30:45 PM,2.68156769748512E-02,0
